ebid,name,stub,area,type,longitude,latitude,function,url,address1,address2,city,postcode,timestamp
,"Scottish Centre for Regenerative Medicine",SCRM,littlefrance,building,-3.1307816505432130,55.9213756958468900,,,"Edinburgh bioQuarter","5 Little France Drive",Edinburgh,"EH16 4UU","2014-09-30 15:21:50"
,"Clinical Research Imaging Centre",clinical-research-imaging-centre,littlefrance,building,-3.1395041942596436,55.9218746628211960,,,"47 Little France Crescent",NULL,Edinburgh,"EH16 4TJ","2014-09-30 15:21:50"
,"Riddell-Swan Veterinary Cancer Centre",riddell-swan-building,easter,building,-3.2020211219787598,55.8647884927243440,,,"Easter Bush",Roslin,Edinburgh,"EH25 9RG","2014-09-30 15:21:50"
,"Equine Hospital",equine-hospital,easter,building,-3.1992530822753906,55.8642948116602700,,,"Easter Bush Campus",NULL,Edinburgh,"EH25 9RG","2014-09-30 15:21:50"
,"Easter Bush Campus Service Centre",easter-campus-management,easter,building,-3.1989848613739014,55.8665524481898640,,,"Easter Bush",Roslin,Edinburgh,"EH25 9RG","2014-09-30 15:21:50"
,"Sir Alexander Robertson Building",alexander-robertson,easter,building,-3.1983304023742676,55.8648005336474900,,,"Easter Bush",Roslin,Edinburgh,"EH25 9RG","2014-09-30 15:21:50"
,"Farm Animal Practice and Equine Clinical Unit",farm-animal-practice,easter,building,-3.1991994380950928,55.8648607382074200,,,"Easter Bush",Roslin,Edinburgh,"EH25 9RG","2014-09-30 15:21:50"
,"Farm Animal Hospital",farm-animal-unit,easter,building,-3.1998538970947266,55.8641382773298200,,,"Easter Bush",Roslin,Edinburgh,"EH25 9RG","2014-09-30 15:21:50"
,"Scintigraphy and Exotic Animal Unit",scintigraphy-exotics,easter,building,-3.1989204883575440,55.8637529593674600,,,"Easter Bush",Roslin,Edinburgh,"EH25 9RG","2014-09-30 15:21:50"
,"Biomedical Research Facility",biomedical-research-facility,westerngeneral,building,-3.2382416725158690,55.9628822006132100,,,"Western General Hospital",,Edinburgh,"EH4 2XU","2015-12-17 10:10:42"
,"CJD Surveillance Unit",cjd-surveillance-unit,westerngeneral,building,-3.2370507717132570,55.9621555585534200,,,"Western General Hospital",,Edinburgh,"EH4 2XU","2015-12-17 10:10:42"
,"Wellcome Trust Clinical Research Facility",wellcome-trust-clinical-research,westerngeneral,building,-3.2354736328125000,55.9622036014248400,,,"Western General Hospital",,Edinburgh,"EH4 2XU","2015-12-17 10:10:42"
,"Clinical Neurosciences",clinical-neurosciences,westerngeneral,building,-3.2371473312377930,55.9618192567835000,,,"Western General Hospital",,Edinburgh,"EH4 2XU","2015-12-17 10:10:42"
